ID_MUNICIP,IDHM
260005,0.679
260010,0.657
260020,0.588
260030,0.592
260040,0.553
260050,0.526
260060,0.599
260070,0.604
260080,0.598
260090,0.58
260100,0.572
260105,0.592
260110,0.602
260120,0.667
260130,0.577
260140,0.586
260150,0.578
260160,0.642
260170,0.629
260180,0.559
260190,0.606
260200,0.565
260210,0.563
260220,0.602
260230,0.561
260240,0.547
260250,0.574
260260,0.562
260270,0.593
260280,0.527
260290,0.686
260300,0.623
260310,0.579
260320,0.522
260330,0.566
260340,0.571
260345,0.692
260350,0.588
260360,0.606
260370,0.541
260380,0.549
260390,0.583
260392,0.573
260400,0.68
260410,0.677
260415,0.567
260420,0.609
260430,0.615
260440,0.604
260450,0.599
260460,0.602
260470,0.536
260480,0.568
260490,0.572
260500,0.592
260510,0.594
260515,0.589
260520,0.632
260530,0.576
260540,0.6
260545,0.788
260550,0.622
260560,0.556
260570,0.626
260580,0.576
260590,0.602
260600,0.664
260610,0.604
260620,0.651
260630,0.595
260640,0.634
260650,0.528
260660,0.552
260670,0.58
260680,0.665
260690,0.598
260700,0.523
260710,0.608
260720,0.619
260730,0.55
260740,0.595
260750,0.51
260760,0.653
260765,0.575
260770,0.592
260775,0.633
260780,0.586
260790,0.717
260795,0.575
260800,0.53
260805,0.645
260810,0.576
260820,0.554
260825,0.55
260830,0.575
260840,0.509
260845,0.609
260850,0.602
260860,0.525
260870,0.551
260875,0.597
260880,0.611
260890,0.663
260900,0.609
260910,0.578
260915,0.487
260920,0.534
260930,0.591
260940,0.652
260950,0.662
260960,0.735
260970,0.61
260980,0.61
260990,0.572
261000,0.622
261010,0.549
261020,0.569
261030,0.537
261040,0.599
261050,0.592
261060,0.639
261070,0.732
261080,0.567
261090,0.61
261100,0.623
261110,0.697
261120,0.528
261130,0.598
261140,0.58
261150,0.552
261153,0.577
261160,0.772
261170,0.57
261180,0.602
261190,0.613
261200,0.585
261210,0.534
261220,0.669
261230,0.559
261240,0.603
261245,0.549
261247,0.612
261250,0.648
261255,0.533
261260,0.59
261270,0.548
261280,0.593
261290,0.53
261300,0.593
261310,0.591
261320,0.57
261330,0.537
261340,0.608
261350,0.61
261360,0.635
261370,0.653
261380,0.549
261390,0.661
261400,0.595
261410,0.613
261420,0.597
261430,0.6
261440,0.585
261450,0.635
261460,0.605
261470,0.554
261480,0.573
261485,0.593
261500,0.641
261510,0.545
261520,0.599
261530,0.618
261540,0.618
261550,0.605
261560,0.595
261570,0.67
261580,0.519
261590,0.634
261600,0.592
261610,0.605
261618,0.563
261620,0.582
261630,0.605
261640,0.64
261650,0.552
